latitude, longitude, outrage_of_modesty, theft_in_dwelling, voyeurism, shop_theft, rape, murder, littering, jaywalking, traffic_accident, pickpocketing
1.3131780, 103.8798622, 1, 2, 1, 2, 0, 0, 3, 2, 2, 1
1.3132066, 103.8812424, 3, 1, 2, 1, 0, 0, 3, 2, 2, 1
1.3131584, 103.8826056, 1, 1, 1, 0, 0, 0, 3, 3, 4, 1
1.3118072, 103.8798769, 1, 3, 1, 1, 0, 0, 2, 2, 2, 1
1.3104478, 103.8799111, 0, 3, 1, 1, 0, 0, 2, 3, 1, 1
1.3104794, 103.8812424, 2, 1, 1, 0, 0, 0, 4, 3, 2, 0
1.3118482, 103.8812718, 4, 3, 3, 1, 2, 1, 3, 1, 2, 2
1.3117666, 103.8826533, 1, 2, 2, 0, 0, 0, 3, 4, 4, 0
1.3105054, 103.8826273, 3, 2, 2, 0, 0, 0, 3, 4, 4, 1
1.3132793, 103.8840111, 2, 2, 0, 4, 0, 0, 4, 3, 2, 1
1.3117788, 103.8840269, 3, 1, 0, 0, 0, 0, 2, 1, 3, 2
1.3104668, 103.8839903, 1, 2, 2, 0, 0, 0, 3, 4, 4, 0
1.3132247, 103.8854986, 0, 2, 2, 0, 0, 0, 0, 1, 2, 1
1.3118193, 103.8853682, 2, 1, 1, 0, 0, 0, 4, 3, 2, 0
1.3104192, 103.8853285, 1, 1, 1, 0, 0, 0, 0, 3, 2, 1
