latitude, longitude, outrage_of_modesty, theft_in_dwelling, voyeurism, shop_theft, rape, murder, littering, jaywalking, traffic_accident, pickpocketing

1.4492453, 103.8202093, 1, 1, 0, 2, 0, 0, 2, 2, 0, 0

1.4492604, 103.8214633, 1, 2, 1, 0, 0, 0, 1, 2, 1, 1

1.4491915, 103.8229477, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0

1.4492603, 103.8242870, 1, 2, 4, 1, 1, 0, 4, 0, 0, 1

1.4492610, 103.8256814, 2, 0, 3, 0, 1, 0, 3, 0, 0, 0

1.4478503, 103.8201486, 0, 0, 0, 0, 0, 0, 3, 3, 2, 0

1.4478268, 103.8215903, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0

1.4477848, 103.8229027, 3, 1, 3, 1, 0, 0, 2, 1, 0, 1

1.4478564, 103.8242504, 0, 1, 0, 1, 0, 0, 2, 2, 1, 0

1.4478533, 103.8256784, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0

1.4464630, 103.8201820, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0

1.4463944, 103.8216278, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0

1.4463656, 103.8229083, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0

1.4465639, 103.8242763, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0

1.4464794, 103.8256645, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0
