latitude, longitude, outrage_of_modesty, theft_in_dwelling, voyeurism, shop_theft, rape, murder, littering, jaywalking, traffic_accident, pickpocketing
1.2784461, 103.8353506, 2, 1, 1, 0, 0, 0, 4, 3, 2, 0
1.2770569, 103.8354181, 0, 2, 2, 0, 0, 0, 0, 1, 2, 1
1.2756134, 103.8354352, 1, 2, 2, 0, 0, 0, 3, 4, 4, 0
1.2784271, 103.8367493, 2, 1, 1, 0, 0, 0, 4, 3, 2, 0
1.2771473, 103.8367975, 0, 2, 2, 0, 0, 0, 0, 1, 2, 1
1.2754395, 103.8367538, 0, 3, 1, 1, 0, 0, 2, 3, 1, 1
1.2784394, 103.8381560, 3, 1, 2, 1, 0, 0, 3, 2, 2, 1
1.2770491, 103.8381591, 1, 1, 1, 0, 0, 0, 0, 3, 2, 1
1.2758649, 103.8381748, 1, 1, 1, 0, 0, 0, 0, 3, 2, 1
1.2784034, 103.8396024, 1, 2, 2, 0, 0, 0, 3, 4, 4, 0
1.2771142, 103.8396193, 1, 1, 1, 0, 0, 0, 3, 3, 4, 1
1.2757711, 103.8395960, 2, 2, 0, 4, 0, 0, 4, 3, 2, 1
1.2784445, 103.8410312, 2, 1, 1, 0, 0, 0, 4, 3, 2, 0
1.2770509, 103.8409251, 1, 1, 1, 0, 0, 0, 0, 3, 2, 1
1.2756828, 103.8409445, 1, 1, 1, 0, 0, 0, 0, 3, 2, 1
