latitude, longitude, outrage_of_modesty, theft_in_dwelling, voyeurism, shop_theft, rape, murder, littering, jaywalking, traffic_accident, pickpocketing

1.3339457, 103.7423813, 1, 1, 0, 2, 0, 0, 2, 2, 0, 0

1.3340627, 103.7436770, 1, 1, 0, 2, 0, 0, 2, 2, 0, 0

1.3339800, 103.7450800, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0

1.3339473, 103.7464924, 1, 1, 1, 2, 0, 0, 2, 2, 0, 0

1.3340161, 103.7478934, 0, 0, 0, 0, 0, 0, 2, 3, 1, 0

1.3326262, 103.7424425, 2, 0, 2, 0, 1, 0, 3, 0, 0, 2

1.3324681, 103.7437928, 1, 1, 1, 2, 0, 0, 2, 2, 0, 0

1.3324765, 103.7451963, 3, 3, 3, 4, 0, 0, 4, 0, 0, 2

1.3324697, 103.7464997, 2, 3, 5, 3, 0, 0, 4, 0, 0, 2

1.3324825, 103.7479112, 0, 1, 0, 0, 0, 0, 3, 2, 1, 0

1.3310963, 103.7423848, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0

1.3311801, 103.7438795, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

1.3312416, 103.7451002, 2, 2, 2, 3, 0, 0, 2, 1, 0, 1

1.3311520, 103.7465217, 0, 1, 0, 0, 0, 0, 3, 2, 1, 0

1.3312586, 103.7478798, 3, 2, 1, 1, 0, 0, 3, 2, 0, 1
